logical clock: 1 | internal event | global time: 16:01:48.535990
logical clock: 2 | internal event | global time: 16:01:48.721031
logical clock: 3 | internal event | global time: 16:01:48.893236
logical clock: 4 | received | global time: 16:01:49.066272 | queue length: 0
logical clock: 5 | internal event | global time: 16:01:49.250215
logical clock: 6 | internal event | global time: 16:01:49.426332
logical clock: 7 | internal event | global time: 16:01:49.610486
logical clock: 8 | internal event | global time: 16:01:49.792473
logical clock: 9 | internal event | global time: 16:01:49.963792
logical clock: 10 | internal event | global time: 16:01:50.168222
logical clock: 11 | received | global time: 16:01:50.338673 | queue length: 0
logical clock: 12 | sent: 3 | global time: 16:01:50.512117
logical clock: 13 | sent: 1 | global time: 16:01:50.693211
logical clock: 14 | sent: 3 | global time: 16:01:50.868703
logical clock: 15 | internal event | global time: 16:01:51.044506
logical clock: 16 | sent: 3 | global time: 16:01:51.228400
logical clock: 17 | internal event | global time: 16:01:51.399281
logical clock: 18 | internal event | global time: 16:01:51.571279
logical clock: 19 | sent: 1 | global time: 16:01:51.741464
logical clock: 20 | internal event | global time: 16:01:51.915792
logical clock: 21 | internal event | global time: 16:01:52.100651
logical clock: 22 | internal event | global time: 16:01:52.284437
logical clock: 23 | sent: 1 | global time: 16:01:52.457282
logical clock: 24 | sent: 2 | global time: 16:01:52.642317
logical clock: 25 | sent: 1 | global time: 16:01:52.827390
logical clock: 26 | internal event | global time: 16:01:53.002669
logical clock: 27 | internal event | global time: 16:01:53.185058
logical clock: 28 | sent: 1 | global time: 16:01:53.356523
logical clock: 29 | internal event | global time: 16:01:53.540594
logical clock: 30 | internal event | global time: 16:01:53.711857
logical clock: 31 | internal event | global time: 16:01:53.883444
logical clock: 32 | sent: 1 | global time: 16:01:54.056262
logical clock: 33 | internal event | global time: 16:01:54.241020
logical clock: 34 | internal event | global time: 16:01:54.411166
logical clock: 35 | internal event | global time: 16:01:54.582181
logical clock: 36 | internal event | global time: 16:01:54.765856
logical clock: 37 | internal event | global time: 16:01:54.940174
logical clock: 38 | internal event | global time: 16:01:55.124866
logical clock: 39 | received | global time: 16:01:55.309967 | queue length: 0
logical clock: 40 | sent: 2 | global time: 16:01:55.479507
logical clock: 41 | internal event | global time: 16:01:55.650467
logical clock: 42 | sent: 1 | global time: 16:01:55.823754
logical clock: 43 | sent: 1 | global time: 16:01:55.993836
logical clock: 44 | sent: 2 | global time: 16:01:56.164864
logical clock: 45 | sent: 2 | global time: 16:01:56.336261
logical clock: 46 | internal event | global time: 16:01:56.505606
logical clock: 47 | internal event | global time: 16:01:56.677377
logical clock: 48 | received | global time: 16:01:56.848119 | queue length: 0
logical clock: 49 | internal event | global time: 16:01:57.019598
logical clock: 50 | received | global time: 16:01:57.191066 | queue length: 0
logical clock: 51 | internal event | global time: 16:01:57.362130
logical clock: 52 | sent: 1 | global time: 16:01:57.537033
logical clock: 53 | sent: 1 | global time: 16:01:57.719649
logical clock: 54 | internal event | global time: 16:01:57.890028
logical clock: 55 | internal event | global time: 16:01:58.061833
logical clock: 56 | sent: 2 | global time: 16:01:58.233143
logical clock: 57 | internal event | global time: 16:01:58.407004
logical clock: 58 | internal event | global time: 16:01:58.576235
logical clock: 59 | internal event | global time: 16:01:58.748983
logical clock: 60 | sent: 3 | global time: 16:01:58.933323
logical clock: 61 | internal event | global time: 16:01:59.109256
logical clock: 62 | sent: 2 | global time: 16:01:59.294721
logical clock: 63 | internal event | global time: 16:01:59.477944
logical clock: 64 | sent: 1 | global time: 16:01:59.649066
logical clock: 65 | sent: 1 | global time: 16:01:59.826065
logical clock: 66 | internal event | global time: 16:02:00.008823
logical clock: 67 | internal event | global time: 16:02:00.180969
logical clock: 68 | internal event | global time: 16:02:00.364021
logical clock: 69 | sent: 2 | global time: 16:02:00.535511
logical clock: 70 | received | global time: 16:02:00.719929 | queue length: 0
logical clock: 71 | internal event | global time: 16:02:00.890418
logical clock: 72 | internal event | global time: 16:02:01.062367
